data,dia,mes,ano,campanha,gride,balde,sp,dedos,dedos novos,ident,perdas,recaptura,saco,peso,pesototal,CRC,CC,BC,Quebrada,sexo,ovos,Local,OBS,cont indivíduo,cont capturas,,Problemas
26-out-21,26,10,2021,256,9,B,Tropidurus_torquatus,NA,50_2,52B,NA,Recaptura,1.00,21.00,20.00,82.00,116.00,NA,N,F,S,IBGE,,,,,
26-out-21,26,10,2021,256,10,M,Tropidurus_torquatus,NA,70_5,75B,NA,Captura,1.00,25.75,24.75,84.00,116.00,NA,N,F,S,IBGE,,,,,
26-out-21,26,10,2021,256,14,A,Tropidurus_torquatus,NA,20_1,21B,NA,Recaptura,1.00,21.25,20.25,85.00,111.00,105.00,S,F,S,IBGE,Rabo_regenerado,,,,
29-out-21,29,10,2021,256,3,A,Tropidurus_torquatus,NA,4,4B,NA,Recaptura,1.00,14.25,13.25,70.00,108.00,NA,N,M,N,IBGE,,,,,
29-out-21,29,10,2021,256,9,M,Tropidurus_torquatus,NA,50_40_6,46B,NA,Recaptura,1.00,15.50,14.50,73.00,112.00,NA,N,M,N,IBGE,Dedo_50_predado,,,,
2-nov-21,2,11,2021,257,1,B,Tropidurus_torquatus,NA,50_4,54B,NA,Recaptura,1.00,13.75,12.75,72.00,110.00,59.00,S,M,N,IBGE,Cauda_regenerada,,,,
2-nov-21,2,11,2021,257,4,M,Tropidurus_torquatus,NA,NA,NA,NA,NA,NA,NA,NA,75.00,109.00,NA,N,I,N,IBGE,Patas_predadas,,,,
2-nov-21,2,11,2021,257,19,B,Tropidurus_torquatus,NA,20_9,29B,NA,Recaptura,1.50,36.00,34.50,100.00,143.00,NA,N,M,N,IBGE,Morto,,,,
9-out-20,9,10,2020,245,16,B,Tropidurus_torquatus,NA,40,40C,NA,Captura,3.00,10.00,7.00,61.00,89.00,72.00,N,I,N,IBGE,,,,,
20-ago-21,20,8,2021,256,10,A,Tropidurus_torquatus,NA,50_2,52B,NA,captura,1.00,15.25,14.25,72.00,115.00,NA,N,F,N,IBGE,,,,,
12-nov-21,12,11,2021,257,4,C,Tropidurus_torquatus,NA,60_9,69B,NA,Recaptura,1.00,3.50,2.50,42.00,59.00,NA,N,I,N,IBGE,,,,,
26-nov-21,26,11,2021,257,4,M,Tropidurus_torquatus,NA,60_9,69B,NA,Recaptura,NA,NA,NA,42.00,60.00,10.00,S,I,N,IBGE,FUGIU NO MANUSEIO,,,,
30-nov-21,30,11,2021,257,26,A,Tropidurus_torquatus,NA,70_6,76B,NA,Captura,1.00,13.50,12.50,75.00,92.00,NA,N,F,N,IBGE,Verificar criotubo depois,,,,
1-fev-22,1,2,2022,258,3,M,Tropidurus_torquatus,NA,60_9,69B,NA,Recaptura,NA,NA,NA,NA,NA,NA,N,NA,N,IBGE,FUGIU NO MANUSEIO. CAUDA QUEBRADA. SEXO NÃO OBSERVADO,,,,
1-fev-22,1,2,2022,258,7,M,Tropidurus_torquatus,NA,70_7,77B,NA,Captura,1.00,16.00,15.00,78.00,110.00,NA,N,F,N,IBGE,,,,,
18-mar-22,18,3,2022,259,4,A,Tropidurus_torquatus,NA,70_8,78B,NA,Captura,1.00,2.00,1.00,34.00,49.00,NA,N,I,N,IBGE,,,,,
22-mar-22,22,3,2022,259,16,B,Tropidurus_torquatus,NA,70_9,79B,NA,Captura,1.00,2.00,1.00,34.00,45.00,NA,N,I,N,IBGE,,,,,
1-abr-22,1,4,2022,260,5,A,Tropidurus_torquatus,NA,80,80B,NA,Captura,2.00,19.50,17.50,82.00,100.00,98.00,S,F,N,IBGE,,,,,
1-abr-22,1,4,2022,260,16,C,Tropidurus_torquatus,NA,70_9,79B,NA,Recaptura,1.00,2.00,1.00,34.00,45.00,NA,N,I,N,IBGE,,,,,
22-abr-22,22,4,2022,260,1,M,Tropidurus_torquatus,NA,50_4,54B,NA,Recaptura,2.00,28.00,26.00,83.00,136.00,NA,N,M,N,IBGE,CAUDA NAO QUEBRADA,,,,
